F,x,gb0,gb1
0.0,-2.5717104559918785e-18,1.1342581648871958e-7,0.0
0.5,1.4035677229537063e-10,1.1359965384667908e-7,0.0
1.0,2.828511881816757e-10,1.1602110855061997e-7,0.0
1.5,4.2952661702165504e-10,1.1786961851166354e-7,0.0
2.0,5.826162790185649e-10,1.269985890698407e-7,0.0
2.5,7.4480378248193e-10,1.4147567271472848e-7,0.0
3.0,9.194056812928318e-10,1.5694150460811667e-7,0.0
3.5,1.111376110719776e-9,1.7193952962085824e-7,0.0
4.0,1.3249542377129134e-9,1.871040591551066e-7,0.0
4.5,1.5679222602578738e-9,2.276661050010094e-7,0.0
5.0,1.8502345861770737e-9,2.6291822027449096e-7,0.0
5.5,2.186144512047282e-9,3.063573241603305e-7,0.0
6.0,2.5969627535220413e-9,4.453394570527543e-7,0.0
6.5,3.124758073881283e-9,6.111246096786591e-7,0.0
7.0,3.808177111219207e-9,8.705626051472983e-7,0.0
7.5,4.753669060521184e-9,1.2141328999020818e-6,0.0
8.0,6.158913272246928e-9,1.4006734202336457e-6,0.01
8.5,8.480277087256023e-9,0.006978351965448132,0.02
9.0,1.3111581788351741e-8,0.023588726653110355,0.049999999999999996
9.5,2.6930453571990363e-8,0.13288306803759678,0.25000000000000006
10.0,3.056030210080618e-6,0.5888224584535748,0.5799999999999995
10.5,0.0012451352942692484,0.811483184135154,0.8199999999999986
11.0,0.0024951096082077087,0.9177212071817523,0.9499999999999982
11.5,0.0037451775052117,1.0000159953253969,0.9699999999999981
12.0,0.004995190936246379,0.9999976938746222,0.9999999999999981
12.5,0.006245173779463496,0.9999841937763383,0.9999999999999981
13.0,0.007495139614957829,0.9999819665777316,0.9999999999999981
13.5,0.008745107341576635,0.9999853684861996,0.9999999999999981
14.0,0.00999510710064814,0.9999946335793656,0.9999999999999981
14.5,0.011245106962122681,1.0000003264231532,0.9999999999999981
15.0,0.012495107948766333,1.000010130178297,0.9999999999999981
15.5,0.013745109923034987,1.0000291718501526,0.9999999999999981
16.0,0.014995210482806373,1.0000284610455685,0.9999999999999981
16.5,0.01624520979311004,1.0000228426092712,0.9999999999999981
17.0,0.01749528514835148,0.9999682576447741,0.9999999999999981
17.5,0.018745109643947207,0.9999733837061597,0.9999999999999981
18.0,0.019995107495648475,0.9999737781423902,0.9999999999999981
18.5,0.021245108882998926,0.9999956942787421,0.9999999999999981
19.0,0.02249511120458575,1.000002629196911,0.9999999999999981
19.5,0.02374511469858727,1.0000034187792881,0.9999999999999981
20.0,0.02499511953646749,1.0000039769521314,0.9999999999999981
